,level_0,index,Player,Team,FP,POS,Price
100,115,29,Leonard Fournette,TB,140.14,RB,0.438603895
101,116,52,Darnell Mooney,CHI,136.33,WR,0.025197215
102,159,16,Jonnu Smith,NE,112.52,TE,-0.063264201
103,118,51,Antonio Brown,TB,135.37,WR,-0.067960953
104,119,50,Mecole Hardman,KC,133.99,WR,-0.187987968
105,120,30,Melvin Gordon III,DEN,133.41,RB,-0.234814883
106,121,31,Zack Moss,BUF,133.17,RB,-0.253561244
107,165,14,Jared Cook,LAC,109.99,TE,-0.341482786
108,122,53,Jaylen Waddle,MIA,131.53,WR,-0.37172124
109,123,57,Cole Beasley,BUF,131.08,WR,-0.401092107
110,124,56,Michael Pittman Jr.,IND,130.43,WR,-0.441180223
111,125,35,Michael Carter,NYJ,129.98,RB,-0.467309348
112,128,62,Russell Gage,ATL,129.28,WR,-0.505300775
113,129,55,Tyrell Williams,DET,128.73,WR,-0.532874569
114,168,15,Rob Gronkowski,TB,107.39,TE,-0.547051075
115,130,58,Emmanuel Sanders,BUF,128.32,WR,-0.552120551
116,169,20,Evan Engram,NYG,107.24,TE,-0.556378244
117,131,33,James Conner,ARI,128.16,RB,-0.559326984
118,132,38,Kenyan Drake,LV,128.11,RB,-0.561543916
119,133,37,David Johnson,HOU,127.95,RB,-0.568525738
120,170,17,Blake Jarwin,DAL,106.78,TE,-0.583239122
121,135,54,Henry Ruggs III,LV,126.45,WR,-0.625616911
122,136,34,Trey Sermon,SF,126.31,RB,-0.630170668
123,172,21,Eric Ebron,PIT,105.72,TE,-0.635071996
124,137,32,Ronald Jones II,TB,126.08,RB,-0.637363307
125,173,18,Anthony Firkser,TEN,105.08,TE,-0.659520009
126,174,19,Hunter Henry,NE,104.98,TE,-0.66287138
127,141,39,Jamaal Williams,DET,125.04,RB,-0.665392252
128,143,59,Nelson Agholor,NE,123.16,WR,-0.697231009
129,144,60,Jalen Reagor,PHI,122.98,WR,-0.698997648
130,145,65,Elijah Moore,NYJ,121.14,WR,-0.70408338
131,146,61,Breshad Perriman,DET,120.93,WR,-0.70408338
132,178,22,Austin Hooper,CLE,101.18,TE,-0.70408338
133,11,10,Jalen Hurts,PHI,305.066,QB,-0.70408338
134,148,36,Gus Edwards,BAL,118.17,RB,-0.70408338
135,12,11,Ryan Tannehill,TEN,304.124,QB,-0.70408338
136,179,23,Adam Trautman,NO,99.26,TE,-0.70408338
137,149,41,Devin Singletary,BUF,116.79,RB,-0.70408338
138,151,68,Sterling Shepard,NYG,116.37,WR,-0.70408338
139,152,46,J.D. McKissic,WAS,115.85,RB,-0.70408338
140,153,64,Tre'Quan Smith,NO,114.19,WR,-0.70408338
141,154,63,Gabriel Davis,BUF,114.18,WR,-0.70408338
142,155,40,AJ Dillon,GB,113.38,RB,-0.70408338
143,156,42,Phillip Lindsay,HOU,113.32,RB,-0.70408338
144,157,67,Rondale Moore,ARI,113.24,WR,-0.70408338
145,158,66,A.J. Green,ARI,113.02,WR,-0.70408338
146,186,24,Zach Ertz,PHI,96.04,TE,-0.70408338
147,160,43,Tony Pollard,DAL,111.9,RB,-0.70408338
148,162,49,James White,NE,110.54,RB,-0.70408338
149,163,69,Randall Cobb,GB,110.52,WR,-0.70408338
150,164,48,Nyheim Hines,IND,110.33,RB,-0.70408338
151,166,71,Jamison Crowder,NYJ,108.11,WR,-0.70408338
152,167,44,Latavius Murray,NO,108.04,RB,-0.70408338
153,189,25,Cole Kmet,CHI,92.18,TE,-0.70408338
154,171,70,Marquez Callaway,NO,106.77,WR,-0.70408338
155,175,72,Terrace Marshall Jr.,CAR,104.68,WR,-0.70408338
156,176,73,Jakobi Meyers,NE,104,WR,-0.70408338
157,177,74,Christian Kirk,ARI,101.38,WR,-0.70408338
158,196,27,Jordan Akins,HOU,87.38,TE,-0.70408338
159,197,26,Gerald Everett,SEA,86.6,TE,-0.70408338
160,180,76,Rashod Bateman,BAL,98.76,WR,-0.70408338
161,181,77,Darius Slayton,NYG,98.51,WR,-0.70408338
162,182,78,Allen Lazard,GB,97.51,WR,-0.70408338
163,183,45,Malcolm Brown,MIA,97.23,RB,-0.70408338
164,184,75,DeSean Jackson,LAR,96.69,WR,-0.70408338
165,185,79,Parris Campbell,IND,96.66,WR,-0.70408338
166,187,47,Tevin Coleman,NYJ,94.2,RB,-0.70408338
167,188,80,John Brown,LV,93.53,WR,-0.70408338
168,191,50,Alexander Mattison,MIN,91.55,RB,-0.70408338
169,192,81,Van Jefferson,LAR,89.66,WR,-0.70408338
170,193,82,Bryan Edwards,LV,89.15,WR,-0.70408338
171,194,83,Hunter Renfrow,LV,88.48,WR,-0.70408338
172,14,12,Joe Burrow,CIN,286.156,QB,-0.70408338
173,195,84,Anthony Miller,HOU,87.92,WR,-0.70408338
174,198,51,Xavier Jones,LAR,84.76,RB,-0.70408338
175,199,85,Sammy Watkins,BAL,84.43,WR,-0.70408338
176,200,89,Amon-Ra St. Brown,DET,84.12,WR,-0.70408338
177,15,13,Matthew Stafford,LAR,283.142,QB,-0.70408338
178,201,60,Tarik Cohen,CHI,82.89,RB,-0.70408338
179,202,87,Josh Reynolds,TEN,82.85,WR,-0.70408338
180,203,86,Nico Collins,HOU,82.76,WR,-0.70408338
181,19,14,Matt Ryan,ATL,274.566,QB,-0.70408338
