,Player,Price,Pos,Team
491,Sammy Watkins,1.1,WR,Bal
495,Dawson Knox,1,TE,Buf
498,Darnell Mooney,1.5,WR,Chi
501,Sterling Shepard,1.3,WR,NYG
504,T.Y. Hilton,1.3,WR,Ind
507,Jamison Crowder,1.2,WR,NYJ
510,Rhamondre Stevenson,1.2,RB,NE
513,Darrel Williams,1.2,RB,KC
517,Giovani Bernard,1.1,RB,TB
520,Jakobi Meyers,1.4,WR,NE
523,Tevin Coleman,1.2,RB,NYJ
526,Phillip Lindsay,1.4,RB,Hou
529,Jared Cook,1.2,TE,LAC
532,Jalen Reagor,1.1,WR,Phi
535,Michael Pittman Jr.,1.3,WR,Ind
538,Latavius Murray,1.3,RB,NO
541,Sam Darnold,1.2,QB,Car
544,Russell Gage,1,WR,Atl
547,Elijah Moore,1.5,WR,NYJ
550,Alexander Mattison,1.5,RB,Min
554,Rashod Bateman,1.1,WR,Bal
558,DeVante Parker,1.3,WR,Mia
562,Jameis Winston,1.5,QB,NO
565,Gerald Everett,1,TE,Sea
568,Nelson Agholor,1.1,WR,NE
571,Rashaad Penny,1.1,RB,Sea
574,Tarik Cohen,1.4,RB,Chi
578,J.D. McKissic,1.2,RB,Was
581,Trey Lance,1.3,QB,SF
584,Ryan Fitzpatrick,1.1,QB,Was
587,Carson Wentz,1.1,QB,Ind
591,Chuba Hubbard,1.5,RB,Car
594,Jonnu Smith,1.1,TE,NE
597,Evan Engram,1,TE,NYG
600,Austin Hooper,1,TE,Cle
603,Daniel Jones,1,QB,NYG
606,Adam Trautman,1.1,TE,NO
610,Hayden Hurst,1,TE,Atl
613,Cole Kmet,1,TE,Chi
616,Anthony Firkser,1,TE,Ten
,Tyrell Williams,1,WR,Det
,Breshad Perriman,1,WR,Det
,Tre'Quan Smith,1,WR,NO
,Gabriel Davis,1,WR,Buf
,Rondale Moore,1,WR,Ari
,Terrace Marshall Jr.,1,WR,Car
,Christian Kirk,1,WR,Ari
