,level_0,index,Player,Team,FP,POS,Price,Avg_Price
35,92,4,Mark Andrews,BAL,168.1,TE,21.21577708,9.4
36,65,17,Tyler Lockett,SEA,202.26,WR,21.08457305,8.5
37,55,16,David Montgomery,CHI,210.1,RB,20.76968015,25.0
38,2,3,Kyler Murray,ARI,358.60400000000004,QB,19.77325234,11.9
39,58,15,J.K. Dobbins,BAL,207.65,RB,19.75285506,30.7
40,60,18,Miles Sanders,PHI,207.28,RB,19.60061122,22.3
41,67,14,Adam Thielen,MIN,198.91,WR,19.51286844,9.0
42,68,16,CeeDee Lamb,DAL,198.71,WR,19.42018205,20.5
43,70,20,Cooper Kupp,LAR,197.49,WR,18.85769613,11.4
44,63,17,Josh Jacobs,LV,205.11,RB,18.71491922,15.8
45,71,19,D.J. Moore,CAR,193.18,WR,16.91216835,9.5
46,72,21,Chris Godwin,TB,191.43,WR,16.1417,18.4
47,73,18,Julio Jones,TEN,191.01,WR,15.95853527,13.1
48,69,20,Darrell Henderson,LAR,197.52,RB,15.72025797,18.3
49,101,5,Kyle Pitts,ATL,154.67,TE,13.96897783,10.8
50,74,22,Mike Davis,ATL,190.53,RB,13.119089,7.5
51,3,4,Lamar Jackson,BAL,348.086,QB,13.06608843,13.7
52,78,23,Tee Higgins,CIN,183.47,WR,12.79264855,3.8
53,79,29,Diontae Johnson,PIT,183.39,WR,12.7603621,5.9
54,75,21,James Robinson,JAC,189.22,RB,12.64982006,4.7
55,106,6,T.J. Hockenson,DET,150.84,TE,12.09273594,10.3
56,81,25,Courtland Sutton,DEN,180.06,WR,11.44227686,1.9
57,82,24,Odell Beckham Jr.,CLE,179.45,WR,11.206415,4.9
58,83,22,Kenny Golladay,NYG,179.43,WR,11.19871174,4.8
59,77,23,Chase Edmonds,ARI,183.89,RB,10.80397142,6.7
60,84,26,Brandon Aiyuk,SF,176.39,WR,10.05033546,6.3
61,85,27,Ja'Marr Chase,CIN,175.63,WR,9.770369817999999,3.6
62,5,5,Dak Prescott,DAL,341.55199999999996,QB,9.404325057000001,8.7
63,86,30,Brandin Cooks,HOU,173.71,WR,9.076156031,1.4
64,87,35,JuJu Smith-Schuster,PIT,173.24,WR,8.909115144,2.3
65,88,28,Chase Claypool,PIT,171.04,WR,8.142706166,3.5
66,89,33,Robby Anderson,CAR,170.77,WR,8.050429353,2.9
67,91,31,DJ Chark Jr.,JAC,169.09,WR,7.485188022000001,1.7
68,90,24,Myles Gaskin,MIA,170.59,RB,6.685051831,9.7
69,93,37,Tyler Boyd,CIN,166.37,WR,6.603339211000001,1.5
70,94,32,Deebo Samuel,SF,165.81,WR,6.427007028999999,2.6
71,96,34,Jerry Jeudy,DEN,164.25,WR,5.945403122,2.5
72,6,6,Russell Wilson,SEA,333.17199999999997,QB,5.396944587,7.0
73,95,25,Kareem Hunt,CLE,165.53,RB,5.3196370580000005,8.5
74,7,7,Aaron Rodgers,GB,332.856,QB,5.262592368,5.7
75,97,36,Michael Gallup,DAL,160.53,WR,4.85545061,1.4
76,8,8,Justin Herbert,LAC,329.684,QB,3.986518743,5.7
77,98,40,Laviska Shenault Jr.,JAC,156.78,WR,3.8432759310000004,1.6
78,99,42,Jarvis Landry,CLE,156.51,WR,3.773858338,1.4
