,value,price
0,Todd Gurley,Todd Gurley II
1,Allen Robinson,Allen Robinson II
2,Marvin Jones,Marvin Jones Jr.
3,Duke Johnson,Duke Johnson Jr.
4,Devante Parker,DeVante Parker
5,Will Fuller,Will Fuller V
6,Ted Ginn,Ted Ginn Jr.
12,Paul Richardson,Paul Richardson Jr.
,Melvin Gordon,Melvin Gordon III
