Avg Cost
68.5
66.3
65.2
63.7
61.3
60.7
57
56.1
55.7
54.5
53.2
52.6
48
46.8
46.6
43.4
42.1
39.3
38.1
37.2
33.8
32.1
31.6
29.9
29.6
27.7
27.1
26.4
25.5
25.5
23.2
21.5
21.2
20.5
19.4
18.8
18.5
18.1
17.6
17.3
17.1
15.4
15
14.9
13.6
13.4
11.9
11.6
11.2
9.9
9.8
9.8
8.6
8.5
8.1
8
8
7.5
7.2
7
6.8
5.9
5.8
5.6
5.6
5.5
5.4
5.3
4.6
4.4
4.3
4.3
4.1
4.1
4
4
3.9
3.8
3.6
3.3
3.2
3.2
3.1
3.1
2.9
2.9
2.9
2.7
2.7
2.6
2.6
2.5
2.5
2.5
2.5
2.4
2.4
2.3
2.3
2.2
2.2
2.1
2.1
2.1
2.1
2.1
2
1.9
1.9
1.9
1.9
1.8
1.8
1.8
1.8
1.8
1.7
1.7
1.7
1.7
1.7
1.6
1.6
1.6
1.6
1.6
1.6
1.6
1.5
1.5
1.5
1.5
1.5
1.5
1.5
1.5
1.5
1.4
1.4
1.4
1.4
1.4
1.4
1.4
1.4
1.4
1.4
1.4
1.4
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.3
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.2
1.1
1.1
1.1
1.1
1.1
1.1
1.1
1.1
1.1
1
1
1
1
1
1
1
1
