,index,Player,Team,FP,POS
146,61,Breshad Perriman,DET,120.93,WR
148,36,Gus Edwards,BAL,118.17,RB
149,41,Devin Singletary,BUF,116.79,RB
151,68,Sterling Shepard,NYG,116.37,WR
152,46,J.D. McKissic,WAS,115.85,RB
153,64,Tre'Quan Smith,NO,114.19,WR
154,63,Gabriel Davis,BUF,114.17999999999998,WR
155,40,AJ Dillon,GB,113.38,RB
156,42,Phillip Lindsay,HOU,113.32,RB
157,67,Rondale Moore,ARI,113.24,WR
158,66,A.J. Green,ARI,113.02,WR
160,43,Tony Pollard,DAL,111.9,RB
162,49,James White,NE,110.54,RB
163,69,Randall Cobb,GB,110.52,WR
164,48,Nyheim Hines,IND,110.32999999999998,RB
165,14,Jared Cook,LAC,109.99,TE
166,71,Jamison Crowder,NYJ,108.11,WR
167,44,Latavius Murray,NO,108.04,RB
168,15,Rob Gronkowski,TB,107.39,TE
169,20,Evan Engram,NYG,107.24,TE
170,17,Blake Jarwin,DAL,106.78,TE
171,70,Marquez Callaway,NO,106.77,WR
172,21,Eric Ebron,PIT,105.72,TE
173,18,Anthony Firkser,TEN,105.08,TE
174,19,Hunter Henry,NE,104.98,TE
175,72,Terrace Marshall Jr.,CAR,104.68,WR
176,73,Jakobi Meyers,NE,104.0,WR
177,74,Christian Kirk,ARI,101.37999999999998,WR
178,22,Austin Hooper,CLE,101.18,TE
179,23,Adam Trautman,NO,99.26,TE
180,76,Rashod Bateman,BAL,98.75999999999998,WR
181,77,Darius Slayton,NYG,98.51,WR
182,78,Allen Lazard,GB,97.51,WR
183,45,Malcolm Brown,MIA,97.23,RB
184,75,DeSean Jackson,LAR,96.69,WR
185,79,Parris Campbell,IND,96.66,WR
186,24,Zach Ertz,PHI,96.04,TE
187,47,Tevin Coleman,NYJ,94.2,RB
188,80,John Brown,LV,93.53,WR
189,25,Cole Kmet,CHI,92.18,TE
191,50,Alexander Mattison,MIN,91.55,RB
192,81,Van Jefferson,LAR,89.66,WR
193,82,Bryan Edwards,LV,89.15,WR
194,83,Hunter Renfrow,LV,88.47999999999998,WR
195,84,Anthony Miller,HOU,87.92,WR
196,27,Jordan Akins,HOU,87.38000000000002,TE
197,26,Gerald Everett,SEA,86.6,TE
198,51,Xavier Jones,LAR,84.75999999999998,RB
199,85,Sammy Watkins,BAL,84.42999999999998,WR
200,89,Amon-Ra St. Brown,DET,84.12,WR
201,60,Tarik Cohen,CHI,82.89,RB
202,87,Josh Reynolds,TEN,82.85,WR
203,86,Nico Collins,HOU,82.75999999999998,WR
