,POS,Avg,Std
0,QB,326.96914285714286,33.35016747474303
1,WR,153.3756818181819,48.594013604048705
2,RB,173.74245283018865,64.50667976459911
3,TE,127.33925925925924,40.290944194019374
4,FLX,155.61648809523808,54.90707273289723
